wave length	n	k	Energy	WL	-delta	beta		WL			Energy		Energy	beta	Energy	beta		Energy	delta	beta
0.14786434	0.99999956	1.7444099E-8	83849.9580088073	1.4786434E-5	4.39999999990448E-7	1.7444099E-8		8.547580944E-4	0.00107269682955146	3.1172791348225E-4	1450.51565831653		83849.9580088073	1.7444099E-8	1450.51565831653	3.1172791348225E-4		10.05929	-0.27631	0.98331
0.14812933	0.99999956	1.7548003E-8	83699.9580029154	1.4812933E-5	4.39999999990448E-7	1.7548003E-8		8.67144096E-4	0.00110441958579494	3.25920683890375E-4	1429.79696883043		83699.9580029154	1.7548003E-8	1429.79696883043	3.25920683890375E-4		10.0603	-0.27624	0.98324
0.14830652	0.99999956	1.7618207E-8	83599.9570349301	1.4830652E-5	4.39999999990448E-7	1.7618207E-8		8.795300976E-4	0.00113677086728393	3.41275433975351E-4	1409.66182212887		83599.9570349301	1.7618207E-8	1409.66182212887	3.41275433975351E-4		10.06131	-0.27618	0.98318
0.14848413	0.99999956	1.7688697E-8	83499.9585477586	1.4848413E-5	4.39999999990448E-7	1.7688697E-8		8.919160992E-4	0.00116917110316835	3.57476040750545E-4	1390.08590730907		83499.9585477586	1.7688697E-8	1390.08590730907	3.57476040750545E-4		10.06232	-0.27612	0.98312
0.14866217	0.99999955	1.7759533E-8	83399.9577700231	1.4866217E-5	4.50000000040696E-7	1.7759533E-8		9.043021008E-4	0.0012015007235528	3.74192822146473E-4	1371.04624538986		83399.9577700231	1.7759533E-8	1371.04624538986	3.74192822146473E-4		10.06334	-0.27606	0.98306
0.14884064	0.99999955	1.78306E-8	83299.955576649	1.4884064E-5	4.50000000040696E-7	1.78306E-8		9.166881024E-4	0.00123392184495	3.91429182190365E-4	1352.52109932915		83299.955576649	1.78306E-8	1352.52109932915	3.91429182190365E-4		10.06435	-0.27599	0.98299
0.14901953	0.99999955	1.7903134E-8	83199.9584215572	1.4901953E-5	4.50000000040696E-7	1.7903134E-8		9.29074104E-4	0.00126630606695657	4.09193243098809E-4	1334.48989123907		83199.9584215572	1.7903134E-8	1334.48989123907	4.09193243098809E-4		10.06536	-0.27593	0.98293
0.14919886	0.99999955	1.7975966E-8	83099.9559916209	1.4919886E-5	4.50000000040696E-7	1.7975966E-8		9.414601056E-4	0.00129853292358527	4.27407565950086E-4	1316.93312613585		83099.9559916209	1.7975966E-8	1316.93312613585	4.27407565950086E-4		10.06637	-0.27587	0.98287
0.14937861	0.99999955	1.8050043E-8	82999.9603022146	1.4937861E-5	4.50000000040696E-7	1.8050043E-8		9.538461072E-4	0.00133096332211228	4.45208951729534E-4	1299.83232163051		82999.9603022146	1.8050043E-8	1299.83232163051	4.45208951729534E-4		10.06738	-0.2758	0.9828
0.14955881	0.99999955	1.8124484E-8	82899.9555425722	1.4955881E-5	4.50000000040696E-7	1.8124484E-8		9.662321088E-4	0.00136394530048074	4.63225387526786E-4	1283.16994302725		82899.9555425722	1.8124484E-8	1283.16994302725	4.63225387526786E-4		10.0684	-0.27574	0.98274
0.14973943	0.99999955	1.8207785E-8	82799.9592358539	1.4973943E-5	4.50000000040696E-7	1.8207785E-8		9.786181104E-4	0.00139752032687217	4.81694501447517E-4	1266.92934335052		82799.9592358539	1.8207785E-8	1266.92934335052	4.81694501447517E-4		10.06941	-0.27568	0.98268
0.1499205	0.99999955	1.8291377E-8	82699.9556431575	1.499205E-5	4.50000000040696E-7	1.8291377E-8		9.91004112E-4	0.00143156151052614	5.00611687287042E-4	1251.09470786939		82699.9556431575	1.8291377E-8	1251.09470786939	5.00611687287042E-4		10.07042	-0.27561	0.98261
0.150102	0.99999955	1.8375618E-8	82599.9566961133	1.50102E-5	4.50000000040696E-7	1.8375618E-8		0.0010033901136	0.00146645215665821	5.20155542815242E-4	1235.65100273079		82599.9566961133	1.8375618E-8	1235.65100273079	5.20155542815242E-4		10.07144	-0.27555	0.98255
0.15028394	0.99999955	1.8460215E-8	82499.9577466495	1.5028394E-5	4.50000000040696E-7	1.8460215E-8		0.0010157761152	0.00150191865383881	5.41134271540661E-4	1220.58392735084		82499.9577466495	1.8460215E-8	1220.58392735084	5.41134271540661E-4		10.07245	-0.27549	0.98249
0.15042981	0.99999955	1.8526698E-8	82419.9585175306	1.5042981E-5	4.50000000040696E-7	1.8526698E-8		0.0010281621168	0.00153740421533002	5.63135900011725E-4	1205.87987024733		82419.9585175306	1.8526698E-8	1205.87987024733	5.63135900011725E-4		10.07346	-0.27543	0.98243
0.15055768	0.99999955	1.8585107E-8	82349.9585009546	1.5055768E-5	4.50000000040696E-7	1.8585107E-8		0.0010405481184	0.0015726023140506	5.85898760946347E-4	1191.5258680266		82349.9585009546	1.8585107E-8	1191.5258680266	5.85898760946347E-4		10.07448	-0.27536	0.98236
0.15068577	0.99999955	1.8643628E-8	82279.9571585293	1.5068577E-5	4.50000000040696E-7	1.8643628E-8		0.00105293412	0.00160762860715834	6.09456072341656E-4	1177.50956726523		82279.9571585293	1.8643628E-8	1177.50956726523	6.09456072341656E-4		10.07549	-0.2753	0.9823
0.15083242	0.99999954	1.8710729E-8	82199.9587356618	1.5083242E-5	4.59999999979921E-7	1.8710729E-8		0.0010653201216	0.00164260028442281	6.33658955884518E-4	1163.81918905079		82199.9587356618	1.8710729E-8	1163.81918905079	6.33658955884518E-4		10.0765	-0.27524	0.98224
0.15101614	0.99999954	1.8784548E-8	82099.9576601548	1.5101614E-5	4.59999999979921E-7	1.8784548E-8		0.0010777061232	0.00167751197679205	6.58426329294783E-4	1150.4434959677		82099.9576601548	1.8784548E-8	1150.4434959677	6.58426329294783E-4		10.07752	-0.27517	0.98217
0.15110817	0.99999954	1.8821541E-8	82049.9560017172	1.5110817E-5	4.59999999979921E-7	1.8821541E-8		0.0010900921248	0.00171234898800572	6.83799682778013E-4	1137.37176133391		82049.9560017172	1.8821541E-8	1137.37176133391	6.83799682778013E-4		10.07853	-0.27511	0.98211
0.1512003	0.99999954	1.8858611E-8	81999.9609789134	1.512003E-5	4.59999999979921E-7	1.8858611E-8		0.0011024781264	0.00174702722355235	7.100706717228E-4	1124.59374051124		81999.9609789134	1.8858611E-8	1124.59374051124	7.100706717228E-4		10.07955	-0.27505	0.98205
0.15129256	0.99999954	1.889703E-8	81949.9564287894	1.5129256E-5	4.59999999979921E-7	1.889703E-8		0.001114864128	0.00178156604534821	7.36914908407773E-4	1112.09964412811		81949.9564287894	1.889703E-8	1112.09964412811	7.36914908407773E-4		10.08056	-0.27499	0.98198
0.15138492	0.99999954	1.893559E-8	81899.9587277253	1.5138492E-5	4.59999999979921E-7	1.893559E-8		0.0011272501296	0.00181595521042185	7.64314644146988E-4	1099.88011306768		81899.9587277253	1.893559E-8	1099.88011306768	7.64314644146988E-4		10.08158	-0.27492	0.98189
0.1514774	0.99999954	1.897423E-8	81849.9571553248	1.514774E-5	4.59999999979921E-7	1.897423E-8		0.0011396361312	0.00184996154460953	7.92677640093478E-4	1087.92619508693		81849.9571553248	1.897423E-8	1087.92619508693	7.92677640093478E-4		10.08259	-0.27486	0.9818
0.15156999	0.99999954	1.901289E-8	81799.9572342784	1.5156999E-5	4.59999999979921E-7	1.901289E-8		0.0011520221328	0.00188358532950169	8.21684901829453E-4	1076.22932294413		81799.9572342784	1.901289E-8	1076.22932294413	8.21684901829453E-4		10.08361	-0.27479	0.98171
0.15166269	0.99999954	1.9058819E-8	81749.9590703554	1.5166269E-5	4.59999999979921E-7	1.9058819E-8		0.0011644081344	0.00191682733088069	8.5124011177329E-4	1064.78129392223		81749.9590703554	1.9058819E-8	1064.78129392223	8.5124011177329E-4		10.08463	-0.27473	0.98162
0.15175551	0.99999954	1.9104908E-8	81699.9573854024	1.5175551E-5	4.59999999979921E-7	1.9104908E-8		0.001176794136	0.00194898970190684	8.81792797599664E-4	1053.57425064531		81699.9573854024	1.9104908E-8	1053.57425064531	8.81792797599664E-4		10.08564	-0.27467	0.98153
0.15184844	0.99999954	1.9151034E-8	81649.9576814882	1.5184844E-5	4.59999999979921E-7	1.9151034E-8		0.0011891801376	0.00197995885667066	9.12096191185314E-4	1042.60066309402		81649.9576814882	1.9151034E-8	1042.60066309402	9.12096191185314E-4		10.08666	-0.2746	0.98144
0.15194148	0.99999954	1.919732E-8	81599.9600635719	1.5194148E-5	4.59999999979921E-7	1.919732E-8		0.0012015661392	0.00201008560871848	9.42141799669692E-4	1031.8533117332		81599.9600635719	1.919732E-8	1031.8533117332	9.42141799669692E-4		10.08768	-0.27454	0.98135
0.15203464	0.99999954	1.9238624E-8	81549.9592724395	1.5203464E-5	4.59999999979921E-7	1.9238624E-8		0.0012139521408	0.00204034077985719	9.70293397941094E-4	1021.32527167252		81549.9592724395	1.9238624E-8	1021.32527167252	9.70293397941094E-4		10.08869	-0.27447	0.98126
0.15209059	0.99999954	1.9263447E-8	81519.9592558619	1.5209059E-5	4.59999999979921E-7	1.9263447E-8		0.0012263381424	0.00207130264096721	9.98850361675983E-4	1011.0098977869		81519.9592558619	1.9263447E-8	1011.0098977869	9.98850361675983E-4		10.08971	-0.27441	0.98117
0.15212791	0.99999954	1.9280014E-8	81499.9607895751	1.5212791E-5	4.59999999979921E-7	1.9280014E-8		0.001238724144	0.00210305341222585	0.00102785985330999	1000.90081072966		81499.9607895751	1.9280014E-8	1000.90081072966	0.00102785985330999		10.09073	-0.27435	0.98108
0.15218393	0.99999954	1.930489E-8	81469.9600674	1.5218393E-5	4.59999999979921E-7	1.930489E-8		0.0012511101456	0.00213480861514421	0.00105763676341935	990.991883776472		81469.9600674	1.930489E-8	990.991883776472	0.00105763676341935		10.09174	-0.27428	0.98099
0.1522213	0.99999954	1.9321492E-8	81449.959368367	1.522213E-5	4.59999999979921E-7	1.9321492E-8		0.0012634961472	0.00216644568310592	0.00108775411567254	981.277230443145		81449.959368367	1.9321492E-8	981.277230443145	0.00108775411567254		10.09276	-0.27422	0.9809
