energy_ev,grazing_angle_deg,efficiency_order_1
930.0,4.0,0.04609906352114627
940.0,4.0,0.04367108768579202
950.0,4.0,0.04112553679488289
960.0,4.0,0.03850581327538051
970.0,4.0,0.03585211456056498
980.0,4.0,0.033198904934190324
990.0,4.0,0.03057707222177841
1000.0,4.0,0.028013640160998367
1010.0,4.0,0.02553461869491279
1020.0,4.0,0.02286499965455635
1030.0,4.0,0.019987775443550952
1040.0,4.0,0.017409363681114107
1050.0,4.0,0.015036038697725693
1060.0,4.0,0.012858090354734416
1070.0,4.0,0.010873573168688684
1080.0,4.0,0.009084181149452461
1090.0,4.0,0.00748367027485828
1100.0,4.0,0.006067181320555045
1110.0,4.0,0.004828736114438622
1120.0,4.0,0.0037615283992830212
1130.0,4.0,0.002857816580004601
1140.0,4.0,0.0021068304958725987
1150.0,4.0,0.0014988532115170889
1160.0,4.0,0.001023462437341275
1170.0,4.0,0.0006695295812676606
1180.0,4.0,0.00042407680357134186
1190.0,4.0,0.000273776898857389
1200.0,4.0,0.00020430289979117655
1210.0,4.0,0.0001999513860738042
1220.0,4.0,0.0002388517040750559
1230.0,4.0,0.00032202564876388233
1240.0,4.0,0.0004463267891398361
1250.0,4.0,0.0005930438817049933
1260.0,4.0,0.0007541040318923902
1270.0,4.0,0.0009221888488111669
1280.0,4.0,0.0010905473857691676
1290.0,4.0,0.0012535677371352445
1300.0,4.0,0.0014078971482818442
1310.0,4.0,0.001550729604868308
1320.0,4.0,0.0016807351618100548
1330.0,4.0,0.0017996617730572032
1340.0,4.0,0.0019076916512151699
1350.0,4.0,0.0020063899647726918
1360.0,4.0,0.0020999729540137502
1370.0,4.0,0.0021877908613274657
1380.0,4.0,0.0022707783253859354
1390.0,4.0,0.0023490835779895365
1400.0,4.0,0.0024195410567673164
1410.0,4.0,0.00248220656847778
1420.0,4.0,0.00253661105185709
1430.0,4.0,0.0025786167595984607
1440.0,4.0,0.0025743132060396766
1450.0,4.0,0.002550192467867119
1460.0,4.0,0.002510606657109661
1470.0,4.0,0.0024580591892125127
1480.0,4.0,0.0023965696978079177
1490.0,4.0,0.0023312371050293
1500.0,4.0,0.0022644407569566063
1510.0,4.0,0.0022013390740387713
1520.0,4.0,0.0021421938814905226
1530.0,4.0,0.002088658117610936
1540.0,4.0,0.0020390150367094973
1550.0,4.0,0.001990145024145208
1560.0,4.0,0.0019389885225137046
1570.0,4.0,0.0018803931674197742
1580.0,4.0,0.001811089625463202
1590.0,4.0,0.0017264502034231397
1600.0,4.0,0.0016249944031693684
1610.0,4.0,0.0015050438338554514
1620.0,4.0,0.0013679203179679464
1630.0,4.0,0.0012152713430752127
1640.0,4.0,0.001059838625563477
1650.0,4.0,0.0008991171048818538
1660.0,4.0,0.0007402278371315298
1670.0,4.0,0.0005894106765216816
1680.0,4.0,0.00045232921572886225
1690.0,4.0,0.0003332531607540449
1700.0,4.0,0.0002348709367859859
1710.0,4.0,0.00015818333944745184
1720.0,4.0,0.00010237258575018856
1730.0,4.0,6.533308159953325e-05
1740.0,4.0,4.36864813059035e-05
1750.0,4.0,3.373900550739338e-05
1760.0,4.0,3.152282437848456e-05
1770.0,4.0,3.338031666254506e-05
1780.0,4.0,3.626133521562808e-05
1790.0,4.0,3.796320008687102e-05
1800.0,4.0,3.723027729686638e-05
1810.0,4.0,3.375372558040408e-05
1820.0,4.0,2.786002207897719e-05
1830.0,4.0,2.0694762901289514e-05
1840.0,4.0,1.351704208018482e-05
1850.0,4.0,7.944416794451676e-06
1860.0,4.0,5.01048843732062e-06
1870.0,4.0,5.310990639245014e-06
1880.0,4.0,8.876416886009965e-06
1890.0,4.0,1.5228765869781736e-05
1900.0,4.0,2.347495335938282e-05
1910.0,4.0,3.236986185709802e-05
1920.0,4.0,4.0920995576022164e-05
1930.0,4.0,4.8267541872945823e-05
1940.0,4.0,5.385213474394077e-05
1950.0,4.0,5.755023224965324e-05
1960.0,4.0,5.970077639373912e-05
1970.0,4.0,6.091412168382259e-05
1980.0,4.0,6.216775383412841e-05
1990.0,4.0,6.429833573557636e-05
2000.0,4.0,6.813772321006081e-05
