Energy	alpha
1272	4.83257999999999
1274	4.82298
1276	4.81341
1278	4.80388000000001
1280	4.79437
1282	4.78489
1284	4.77569
1286	4.76654000000001
1288	4.75742
1290	4.74833
1292	4.73927
1294	4.73025
1296	4.72125
1298	4.71228000000001
1300	4.70332999999999
1302	4.69441999999999
1304	4.68553
1306	4.67667
1308	4.66783
1310	4.65903
1312	4.65025
1314	4.6375
1316	4.62878000000001
1318	4.62008
1320	4.61142
1322	4.60278
1324	4.59416
1326	4.58557999999999
1328	4.57701
1330	4.56847999999999
1332	4.55997000000001
1334	4.55149
1336	4.54303
1338	4.53461
1340	4.52621000000001
1342	4.51783
1344	4.50948
1346	4.50115
1348	4.49285
1350	4.48457000000001
1352	4.47632
1354	4.4641
1356	4.4559
1358	4.44772
1360	4.43958000000001
1362	4.43145
1364	4.42335
1366	4.41528
1368	4.40723
1370	4.39919999999999
1372	4.3912
1374	4.38321000000001
1376	4.37526
1378	4.36732000000001
1380	4.35942
1382	4.35154
1384	4.34368000000001
1386	4.33584
1388	4.32803
1390	4.31623999999999
1392	4.30848
1394	4.30073
1396	4.29301
1398	4.28531
1400	4.27764000000001
1402	4.26999000000001
1404	4.26236
1406	4.25476
1408	4.24717
1410	4.23961
1412	4.23206999999999
1414	4.22456
1416	4.21706
1418	4.20959000000001
1420	4.20213
1422	4.1947
1424	4.18729
1426	4.17991000000001
1428	4.17255
1430	4.16121
1432	4.15389
1434	4.14659
1436	4.13930999999999
1438	4.13205000000001
1440	4.12481
1442	4.11759000000001
1444	4.1104
1446	4.10321999999999
1448	4.09607
1450	4.08893999999999
1452	4.08183
1454	4.07474000000001
1456	4.06767000000001
1458	4.06062
1460	4.05359
1462	4.04658000000001
1464	4.03959
1466	4.03261000000001
1468	4.02166
1470	4.01473
1472	4.00782
1474	4.00093
1476	3.99406
1478	3.98721
1480	3.98038
1482	3.97357
1484	3.96677
1486	3.95999999999999
1488	3.95323999999999
1490	3.9465
1492	3.93978
1494	3.93308
1496	3.9264
1498	3.91974
1500	3.9131
1502	3.90648
1504	3.89587
1506	3.88928
1508	3.88271
1510	3.87616
1512	3.86962
1514	3.8631
1516	3.8566
1518	3.85012
1520	3.84366
1522	3.83722
1524	3.83078999999999
1526	3.82438
1528	3.81798000000001
1530	3.81161
1532	3.80525
1534	3.79891000000001
1536	3.79258
1538	3.78627
1540	3.77598
1542	3.76971
1544	3.76345999999999
1546	3.75722
1548	3.751
1550	3.7448
1552	3.73860999999999
1554	3.73244
1556	3.72629000000001
1558	3.72015
1560	3.71402999999999
1562	3.70792
1564	3.70183
1566	3.69575
1568	3.6897
1570	3.68366
1572	3.67764
1574	3.67162999999999
1576	3.66564
1578	3.65566
1580	3.64971
1582	3.64376
1584	3.63782999999999
1586	3.63191999999999
1588	3.62602
1590	3.62014000000001
1592	3.61427
1594	3.60842
1596	3.60259000000001
1598	3.59677000000001
1600	3.59097
1602	3.58517999999999
1604	3.57941
1606	3.57365
1608	3.56791
1610	3.56218
1612	3.55247
1614	3.54677
1616	3.54107999999999
1618	3.53541
1620	3.52976
1622	3.52412
1624	3.5185
1626	3.51289
1628	3.5073
1630	3.50172000000001
1632	3.49615
1634	3.4906
1636	3.48506
1638	3.47954
1640	3.47403
1642	3.46853
1644	3.46305
1646	3.45359000000001
1648	3.44814
1650	3.4427
1652	3.43728
1654	3.43187
1656	3.42648
1658	3.4211
1660	3.41573
1662	3.41037
1664	3.40503
1666	3.3997
1668	3.39438
1670	3.38908000000001
1672	3.38379999999999
1674	3.37853
1676	3.37327000000001
1678	3.36802
1680	3.36279
1682	3.35757
1684	3.35236
1686	3.34317
1688	3.33799
1690	3.33282
1692	3.32765999999999
1694	3.32252
1696	3.31739
1698	3.31227
1700	3.30718
1702	3.30209000000001
1704	3.29701
1706	3.29195
1708	3.2869
1710	3.28185999999999
1712	3.27684000000001
1714	3.27182000000001
1716	3.26682
1718	3.26183
1720	3.25286
1722	3.24789
1724	3.24294
1726	3.238
1728	3.23308
1730	3.22816
1732	3.22326
1734	3.21838
1736	3.2135
1738	3.20863
1740	3.20377999999999
1742	3.19893
1744	3.19410000000001
1746	3.18928
1748	3.18447999999999
1750	3.17968
1752	3.17489
1754	3.17012
1756	3.16137000000001
1758	3.15662
1760	3.15188000000001
1762	3.14716
1764	3.14245
1766	3.13775
1768	3.13306
1770	3.12838000000001
1772	3.12371
1774	3.11905
1776	3.1144
1778	3.10975999999999
1780	3.10514000000001
1782	3.10053000000001
1784	3.09593
1786	3.09134
1788	3.08676
1790	3.0782
1792	3.07364
1794	3.06910000000001
1796	3.06456
1798	3.06004
1800	3.05552
1802	3.05101999999999
1804	3.04653
1806	3.04204
1808	3.03757
1810	3.03310999999999
1812	3.02866
1814	3.02423
1816	3.0198
1818	3.01539
1820	3.01098
1822	3.00659
1824	2.9982
1826	2.99382
1828	2.98945999999999
1830	2.9851
1832	2.98076
1834	2.97642
1836	2.9721
1838	2.96778
1840	2.96348
1842	2.95918
1844	2.95489999999999
1846	2.95063
1848	2.94637
1850	2.94212
1852	2.93788000000001
1854	2.93364
1856	2.92941999999999
1858	2.92121
1860	2.917
1862	2.91280999999999
1864	2.90862
1866	2.90443999999999
1868	2.90028
1870	2.89612
1872	2.89198
1874	2.88785
1876	2.88372
1878	2.87961
1880	2.8755
1882	2.87139999999999
1884	2.86731
1886	2.86324
1888	2.85917000000001
1890	2.85511
1892	2.84706
1894	2.84302
1896	2.83899
1898	2.83496
1900	2.83095
1902	2.82695
1904	2.82295999999999
1908	2.815
1912	2.80707
1916	2.79919
1920	2.79133
1924	2.77951
1928	2.77173000000001
1932	2.76398
1936	2.75628
1940	2.7486
1944	2.74096
1948	2.73336
1952	2.72578
1956	2.71424
1960	2.70674
1964	2.69927
1968	2.69184
1972	2.68444
1976	2.67707
1980	2.66973
1984	2.66243
1988	2.65116
1992	2.64391000000001
1996	2.63670999999999
2000	2.62954000000001
2004	2.6224
2008	2.61529
2012	2.60821
2016	2.60115999999999
2020	2.59014999999999
2024	2.58316000000001
2028	2.5762
2032	2.56928000000001
2036	2.56238999999999
2040	2.55553
2044	2.5487
2048	2.5419
2052	2.53112
2056	2.52437
2060	2.51766000000001
2064	2.51098
2068	2.50432000000001
2072	2.49769999999999
2076	2.4911
2080	2.48453000000001
2084	2.47398
2088	2.46747000000001
2092	2.46098000000001
2096	2.45453000000001
2100	2.4481
2104	2.4417
2108	2.43532999999999
2112	2.42898
2116	2.41866
2120	2.41236000000001
2124	2.4061
2128	2.39986
2132	2.39364999999999
2136	2.38746999999999
2140	2.38131
2144	2.37118
2148	2.36507
2152	2.35898
2156	2.35293
2160	2.34690000000001
2164	2.34089
2168	2.33492
2172	2.32896
2176	2.31904
2180	2.31313
2184	2.30725
2188	2.30139
2192	2.29555999999999
2196	2.28976
2200	2.28398
2204	2.27423
2208	2.2685
2212	2.26279
2216	2.25709999999999
2220	2.25144
2224	2.2458
2228	2.24019
2232	2.2306
2236	2.22503
2240	2.21948999999999
2244	2.21397
2248	2.20847000000001
2252	2.203
2256	2.19754
2260	2.19211
2264	2.1827
2268	2.17731999999999
2272	2.17196
2276	2.16661999999999
2280	2.16131
2284	2.15600999999999
2288	2.15073
2292	2.14148
2296	2.13624
2300	2.13103
2304	2.12584
2308	2.12067
2312	2.11553000000001
2316	2.11041
2320	2.10129999999999
2324	2.09622
2328	2.09115
2332	2.08611000000001
2336	2.08109
2340	2.07608999999999
2344	2.07111
2348	2.06215
2352	2.05721
2356	2.0523
2360	2.0474
2364	2.04250999999999
2368	2.03765
2372	2.03281
2376	2.02399
2380	2.01918999999999
2384	2.01441
2388	2.00964
2392	2.00490000000001
2396	2.00018
2400	1.99547
2404	1.98678
2408	1.98211000000001
2412	1.97745999999999
2416	1.97283
2420	1.96822
2424	1.96362999999999
2428	1.95905999999999
2432	1.95050000000001
2436	1.94597
2440	1.94145
2444	1.93695
2448	1.93246000000001
2452	1.928
2456	1.92355000000001
2460	1.91512
2464	1.91070999999999
2468	1.90631999999999
2472	1.90194
2476	1.89758
2480	1.89324000000001
2484	1.88892
2488	1.88061
2492	1.87632000000001
2496	1.87204
2500	1.86779
2504	1.86356000000001
2508	1.85934
2512	1.85513
2516	1.84695000000001
2520	1.84278
2524	1.83862000000001
2528	1.83448
2532	1.83036
2536	1.82626
2540	1.81816999999999
2544	1.8141
2548	1.81004
2552	1.80601
2556	1.80198
2560	1.79797000000001
2564	1.79398
2568	1.786
2572	1.78203999999999
2576	1.77809999999999
2580	1.77417
2584	1.77025999999999
2588	1.76636999999999
2592	1.75848000000001
2596	1.75462
2600	1.75077
2604	1.74693000000001
2608	1.74311
2612	1.7393
2616	1.73151
2620	1.72772999999999
2624	1.72398
2628	1.72023
2632	1.7165
2636	1.71279
2640	1.70909
2644	1.70140000000001
2648	1.69773000000001
2652	1.69407
2656	1.69043000000001
2660	1.68680000000001
2664	1.68319
2668	1.67559
2672	1.67201
2676	1.66844
2680	1.66488
2684	1.66134
2688	1.65781
2692	1.6503
2696	1.6468
2700	1.64331
2704	1.63984000000001
2708	1.63638
2712	1.63294
2716	1.62551000000001
2720	1.6221
2724	1.61869
2728	1.6153
2732	1.61193
2736	1.60856
2740	1.60120999999999
2744	1.59788
2748	1.59456
2752	1.59125
2756	1.58796
2760	1.58468000000001
2764	1.57741
2768	1.57415
2772	1.57091
2776	1.56768
2780	1.56446
2784	1.56125
2788	1.55806
2792	1.55488
2796	1.54772
2800	1.54456999999999
2804	1.54143000000001
2808	1.53831
2812	1.53519
2816	1.53209
2820	1.529
2824	1.52191999999999
2828	1.51885
2832	1.5158
2836	1.51276
2840	1.50973
2844	1.50272
2848	1.49970999999999
2852	1.49672
2856	1.49374
2860	1.49078
2864	1.48381999999999
2868	1.48088
2872	1.47794
2876	1.47502
2880	1.47212
2884	1.46522
2888	1.46234
2892	1.45947
2896	1.45661
2900	1.45377000000001
2904	1.45093
2908	1.44410000000001
2912	1.44129
2916	1.43849
2920	1.4357
2924	1.43292
2928	1.42615000000001
2932	1.4234
2936	1.42064999999999
2940	1.41792
2944	1.4152
2948	1.41249000000001
2952	1.4058
2956	1.40311
2960	1.40043
2964	1.39776000000001
2968	1.39511
2972	1.38845999999999
2976	1.38583
2980	1.38321000000001
2984	1.3806
2988	1.378
2992	1.37541
2996	1.36884000000001
3000	1.36627
3004	1.36371
3008	1.36117
3012	1.35863000000001
3016	1.35211
3020	1.34959000000001
3024	1.34708999999999
3028	1.3446
3032	1.34211999999999
3036	1.33965000000001
3040	1.33319
3044	1.33074999999999
3048	1.32831
3052	1.32588
3056	1.31946000000001
3060	1.31706
3064	1.31466
3068	1.31227
3072	1.3099
3076	1.30753
3080	1.30118
3084	1.29883
3088	1.29649999999999
3092	1.29416999999999
3096	1.29186
3100	1.28556
3104	1.28326
3108	1.28098
3112	1.2787
3116	1.27643
3120	1.27018
3124	1.26793000000001
3128	1.2657
3132	1.26348
3136	1.26127
3140	1.25506
3144	1.25287
3148	1.25069000000001
3152	1.24851
3156	1.24635000000001
3160	1.24019
3164	1.23804
3168	1.23591
3172	1.23378
3176	1.23166000000001
3180	1.22956000000001
3184	1.22745999999999
3188	1.22537
3192	1.2193
3196	1.21723
3200	1.21517
3204	1.21312
3208	1.21108
3212	1.20905
3216	1.20302
3220	1.20101
3224	1.19901
3228	1.19701000000001
3232	1.19103
3236	1.18906
3240	1.18709
3244	1.18514
3248	1.17919000000001
3252	1.17725
3256	1.17533
3260	1.17341
3264	1.1675
3268	1.1656
3272	1.16370999999999
3276	1.16182000000001
3280	1.15994999999999
3284	1.15409
3288	1.15224000000001
3292	1.1504
3296	1.14856
3300	1.14673000000001
3304	1.14091999999999
3308	1.13911
3312	1.13731
3316	1.13552
3320	1.12973
3324	1.12796
3328	1.1262
3332	1.12444000000001
3336	1.1187
3340	1.11696000000001
3344	1.11523
3348	1.11351000000001
3352	1.1118
3356	1.1061
3360	1.10441
3364	1.10272999999999
3368	1.10105
3372	1.09938
3376	1.09372
3380	1.09207000000001
3384	1.09043
3388	1.08880000000001
3392	1.08718
3396	1.08157
3400	1.07997
3404	1.07837000000001
3408	1.07678
3412	1.07120999999999
3416	1.06964000000001
3420	1.06807000000001
3424	1.06252000000001
3428	1.06097
3432	1.05944
3436	1.05791000000001
3440	1.05638999999999
3444	1.05088000000001
3448	1.04938
3452	1.04789
3456	1.04640000000001
3460	1.04492999999999
3464	1.03946000000001
3468	1.038
3472	1.03655000000001
3476	1.03511
3480	1.02967
3484	1.02824
3488	1.02683
3492	1.02542
3496	1.02002
3500	1.01862
3504	1.01724
3508	1.01587000000001
3512	1.01049999999999
3516	1.00915000000001
3520	1.0078
3524	1.00245
3528	1.00112
3532	0.999799999999993
3536	0.998480000000001
3540	0.997169999999997
3544	0.991870000000006
3548	0.990579999999994
3552	0.989289999999997
3556	0.988020000000006
3560	0.986750000000001
3564	0.981489999999994
3568	0.980239999999995
3572	0.978999999999999
3576	0.977770000000007
3580	0.972539999999995
3584	0.971329999999995
3588	0.970119999999994
3592	0.964920000000006
3596	0.963719999999995
3600	0.962540000000004
3604	0.957359999999994
3608	0.956190000000007
3612	0.955029999999994
3616	0.953879999999998
3620	0.948740000000001
3624	0.947609999999997
3628	0.946479999999994
3632	0.945359999999994
3636	0.940250000000006
3640	0.939149999999998
3644	0.938059999999993
3648	0.936970000000002
3652	0.935890000000001
3656	0.930819999999997
3660	0.929760000000002
3664	0.928709999999995
3668	0.927660000000003
3672	0.92662
3676	0.921589999999995
3680	0.920569999999998
3684	0.919560000000004
3688	0.918559999999999
3692	0.913560000000004
3696	0.912570000000002
3700	0.911590000000004
3704	0.910619999999994
3708	0.905659999999997
3712	0.904700000000005
3716	0.903750000000002
3720	0.902810000000002
3724	0.901880000000006
3728	0.896960000000007
3732	0.896050000000002
3736	0.895139999999998
3740	0.894239999999996
3744	0.889349999999993
3748	0.888469999999998
3752	0.887590000000003
3756	0.882729999999995
3760	0.881870000000006
3764	0.881020000000007
3768	0.876170000000002
3772	0.875339999999994
3776	0.874510000000001
3780	0.869699999999995
3784	0.868889999999993
3788	0.864080000000001
3792	0.863290000000006
3796	0.86251
3800	0.857730000000004
3804	0.856960000000001
3808	0.856200000000001
3812	0.855450000000005
3816	0.850710000000007
3820	0.849969999999999
3824	0.849239999999995
3828	0.848519999999994
3832	0.847809999999996
3836	0.843100000000007
3840	0.842410000000001
3844	0.841719999999995
3848	0.841040000000007
3852	0.836370000000002
3856	0.835710000000006
3860	0.835049999999995
3864	0.830410000000001
3868	0.829769999999996
3872	0.825140000000005
3876	0.824520000000007
3880	0.823909999999998
3884	0.819299999999998
3888	0.818700000000007
3892	0.818110000000004
3896	0.81353
3900	0.812960000000004
3904	0.812389999999994
3908	0.811840000000004
3912	0.807289999999995
3916	0.806749999999994
3920	0.806219999999996
3924	0.805700000000002
3928	0.801180000000002
3932	0.80068
3936	0.800179999999997
3940	0.799689999999998
3944	0.795209999999997
3948	0.794740000000004
3952	0.794269999999997
3956	0.789820000000006
3960	0.789370000000005
3964	0.784930000000003
3968	0.784499999999994
3972	0.780079999999998
3976	0.779660000000007
3980	0.779259999999994
3984	0.774860000000004
3988	0.774469999999994
3992	0.774090000000001
3996	0.769720000000007
4000	0.769360000000006
4004	0.769000000000005
4008	0.768649999999994
4012	0.768320000000003
4016	0.763990000000007
4020	0.763670000000005
4024	0.763350000000003
4028	0.763050000000007
4032	0.758750000000006
4036	0.758470000000003
4040	0.758189999999999
4044	0.753919999999994
4048	0.753659999999996
4052	0.749409999999997
4056	0.749160000000003
4060	0.744929999999997
4064	0.744699999999995
4068	0.740489999999994
4072	0.740279999999998
4076	0.736080000000001
4080	0.735879999999995
4084	0.735699999999994
4088	0.735529999999997
4092	0.731359999999995
4096	0.731210000000004
4100	0.731059999999999
4104	0.730919999999998
4108	0.726789999999994
4112	0.726669999999999
4116	0.726560000000006
4120	0.726460000000003
4124	0.722359999999995
4128	0.722279999999998
4132	0.722200000000001
4136	0.718130000000002
4140	0.71808
4144	0.714029999999994
4148	0.709990000000005
4152	0.709959999999995
4156	0.705929999999995
4160	0.705920000000006
4164	0.701920000000001
4168	0.701920000000001
4172	0.701939999999993
4176	0.70196
4180	0.697990000000004
4184	0.698040000000006
4188	0.698089999999993
4192	0.694149999999993
4196	0.694220000000001
4200	0.694299999999998
4204	0.694389999999999
4208	0.690489999999997
4212	0.69059
4216	0.690709999999996
4220	0.686840000000004
4224	0.686970000000002
4228	0.687119999999993
4232	0.683269999999993
4236	0.683440000000004
4240	0.679609999999997
4244	0.675799999999995
4248	0.671989999999994
4252	0.672190000000001
4256	0.672409999999999
4260	0.668629999999993
4264	0.668859999999995
4268	0.6691
4272	0.665360000000007
4276	0.665620000000004
4280	0.665890000000005
4284	0.662170000000003
4288	0.662459999999996
4292	0.662760000000006
4296	0.659080000000003
4300	0.659400000000005
4304	0.659729999999996
4308	0.65607
4312	0.656419999999997
4316	0.656790000000001
4320	0.65316
4324	0.653540000000007
4328	0.649929999999998
4332	0.65034
4336	0.642750000000007
4340	0.643169999999998
4344	0.639610000000005
4348	0.640050000000002
4352	0.636510000000001
4356	0.636970000000005
4360	0.637450000000001
4364	0.633930000000007
4368	0.634429999999995
4372	0.63494
4376	0.631460000000004
4380	0.631990000000002
4384	0.632530000000003
4388	0.629080000000002
4392	0.629639999999995
4396	0.630210000000005
4400	0.62679
4404	0.627390000000005
4408	0.627989999999997
4412	0.624610000000004
4416	0.625240000000005
4420	0.625879999999995
4424	0.622529999999998
4428	0.623189999999994
4432	0.619860000000003
4436	0.620549999999994
4440	0.617239999999995
4444	0.617949999999993
4448	0.614670000000004
4452	0.615399999999994
4456	0.612139999999997
4460	0.608890000000002
4464	0.609650000000002
4468	0.606430000000003
4472	0.607219999999998
4476	0.604020000000006
4480	0.604830000000007
4484	0.601659999999995
4488	0.598489999999998
4492	0.599339999999998
4496	0.596199999999996
4500	0.597070000000002
4504	0.593959999999996
4508	0.590850000000003
4512	0.591759999999994
4516	0.588679999999997
4520	0.585620000000006
4524	0.586560000000006
4528	0.583519999999993
4532	0.584490000000002
4536	0.581469999999996
4540	0.582470000000001
4544	0.583479999999994
4548	0.580500000000001
4552	0.581540000000004
4556	0.578590000000005
4560	0.579650000000001
4564	0.576729999999998
4568	0.577820000000003
4572	0.574920000000006
4576	0.576030000000003
4580	0.573160000000001
4584	0.574299999999994
4588	0.571460000000002
4592	0.572620000000001
4596	0.569800000000001
4600	0.570999999999998
4604	0.568209999999993
4608	0.565430000000006
4612	0.562669999999997
4616	0.563919999999996
4620	0.561189999999996
4624	0.55847
4628	0.559759999999997
4632	0.557069999999996
4636	0.558400000000006
4640	0.55574
4644	0.557090000000002
4648	0.554460000000006
4652	0.555840000000003
4656	0.553229999999999
4660	0.554640000000006
4664	0.552070000000001
4668	0.553510000000003
4672	0.550960000000003
4676	0.552430000000001
4680	0.54992
4684	0.547420000000002
4688	0.548940000000002
4692	0.546469999999999
4696	0.548019999999994
4700	0.545580000000001
4704	0.543170000000003
4708	0.540760000000006
4712	0.538380000000004
4716	0.536010000000005
4720	0.537649999999999
4724	0.535319999999999
4728	0.537000000000006
4732	0.534689999999998
4736	0.532409999999999
4740	0.534139999999994
4744	0.531890000000004
4748	0.533649999999994
4752	0.53143
4756	0.529229999999998
4760	0.531049999999993
4764	0.528869999999998
4768	0.526719999999997
4772	0.528580000000005
4776	0.526470000000003
4780	0.528369999999995
4784	0.526290000000003
4788	0.52422
4792	0.526179999999997
4796	0.524150000000006
4800	0.522149999999996
4804	0.520169999999993
4808	0.518199999999993
4812	0.516260000000003
4816	0.518330000000006
4820	0.516419999999997
4824	0.514529999999993
4828	0.512659999999997
4832	0.514809999999997
4836	0.512979999999999
4840	0.511170000000007
4844	0.509379999999993
4848	0.511610000000005
4852	0.509860000000003
4856	0.508129999999994
4860	0.506429999999995
4864	0.508740000000003
4868	0.507069999999999
4872	0.505430000000004
4876	0.507800000000003
4880	0.506200000000007
4884	0.504620000000003
4888	0.503060000000005
4892	0.501519999999999
4896	0.504000000000005
4900	0.502510000000001
4904	0.501040000000003
4908	0.499579999999995
4912	0.498159999999999
4916	0.496750000000006
4920	0.495369999999994
4924	0.494020000000006
4928	0.492679999999993
4932	0.491370000000003
4936	0.49409
4940	0.492829999999998
4944	0.491600000000005
4948	0.490380000000002
4952	0.489199999999997
4956	0.488039999999998
4960	0.486900000000006
4964	0.489789999999999
4968	0.488699999999994
4972	0.487639999999999
4976	0.486609999999999
4980	0.485600000000005
4984	0.484620000000007
4988	0.48366
4992	0.482740000000007
4996	0.485839999999996
5000	0.484960000000001
5004	0.484120000000004
5008	0.483310000000003
5012	0.482519999999994
5016	0.481759999999994
5020	0.481030000000004
5024	0.480329999999995
5028	0.479669999999999
5032	0.479029999999995
5036	0.474419999999995
5040	0.473839999999996
5044	0.473280000000003
5048	0.472759999999994
5052	0.472269999999995
5056	0.471810000000005
5060	0.471379999999996
5064	0.470979999999997
5068	0.470609999999994
5072	0.470269999999999
5076	0.469970000000004
5080	0.469700000000003
5084	0.469470000000001
5088	0.469269999999995
5092	0.469110000000001
5096	0.468980000000002
5100	0.468879999999999
5104	0.464820000000003
5108	0.464799999999997
5112	0.46481
5116	0.464860000000002
5120	0.464950000000002
5124	0.465069999999997
5128	0.465220000000002
5132	0.465410000000006
5136	0.461640000000003
5140	0.461910000000003
5144	0.462220000000002
5148	0.462559999999996
5152	0.462950000000006
5156	0.463380000000001
5160	0.45984
5164	0.460350000000005
5168	0.460899999999995
5172	0.457499999999996
5176	0.45814
5180	0.458820000000003
5184	0.455539999999999
5188	0.456310000000002
