energy_ev,grazing_angle_deg,efficiency_order_1
1010.0,4.0,0.0051674169444360695
1020.0,4.0,0.0045027141318328134
1030.0,4.0,0.0038883915495705242
1040.0,4.0,0.0033239533868764017
1050.0,4.0,0.0028110896640971723
1060.0,4.0,0.002350424009857766
1070.0,4.0,0.0019412710700448287
1080.0,4.0,0.0015824441758364148
1090.0,4.0,0.0012710384202321617
1100.0,4.0,0.0010039931564592827
1110.0,4.0,0.0007778816421041656
1120.0,4.0,0.0005890767519031493
1130.0,4.0,0.0004339087656948612
1140.0,4.0,0.00030874269259678985
1150.0,4.0,0.00021005077376662324
1160.0,4.0,0.00013351560480513827
1170.0,4.0,8.148446083146044e-05
1180.0,4.0,4.430007515877701e-05
1190.0,4.0,1.9768809412312028e-05
1200.0,4.0,5.742045689875549e-06
1210.0,4.0,2.5753820887654217e-07
1220.0,4.0,1.5775825324310213e-06
1230.0,4.0,8.165710033268692e-06
1240.0,4.0,1.8656035630315354e-05
1250.0,4.0,3.182212549101888e-05
1260.0,4.0,4.655783065384439e-05
1270.0,4.0,6.187809284105866e-05
1280.0,4.0,7.690592004314192e-05
1290.0,4.0,9.089396622403726e-05
1300.0,4.0,0.00010326557734888792
1310.0,4.0,0.00011367193496289992
1320.0,4.0,0.00012197927480024136
1330.0,4.0,0.00012821844912208375
1340.0,4.0,0.00013242061794930087
1350.0,4.0,0.00013467883768817263
1360.0,4.0,0.00013542122726300167
1370.0,4.0,0.00013516907580673324
1380.0,4.0,0.00013374534447606172
1390.0,4.0,0.00013138912008365812
1400.0,4.0,0.0001282095305684839
1410.0,4.0,0.00012443792369834508
1420.0,4.0,0.00012014388886638127
1430.0,4.0,0.00011540106203095823
1440.0,4.0,0.00011033335561491302
1450.0,4.0,0.00010490226675267466
1460.0,4.0,9.921757889781586e-05
1470.0,4.0,9.330935338618613e-05
1480.0,4.0,8.725617245338177e-05
1490.0,4.0,8.11790849043271e-05
1500.0,4.0,7.514338181150825e-05
1510.0,4.0,6.932517420978662e-05
1520.0,4.0,6.378292749976859e-05
1530.0,4.0,5.8627922897254325e-05
1540.0,4.0,5.3898823951465316e-05
1550.0,4.0,4.9621630208019476e-05
1560.0,4.0,4.573157936666915e-05
1570.0,4.0,4.217137855737204e-05
1580.0,4.0,3.88915257166394e-05
1590.0,4.0,3.5791450963824426e-05
1600.0,4.0,3.2809284504314635e-05
1610.0,4.0,2.9870319755882112e-05
1620.0,4.0,2.69406706313088e-05
1630.0,4.0,2.399902803795797e-05
1640.0,4.0,2.1058486560447153e-05
1650.0,4.0,1.8148767330206394e-05
1660.0,4.0,1.5320579339375415e-05
1670.0,4.0,1.263251718994393e-05
1680.0,4.0,1.0143807791784324e-05
1690.0,4.0,7.907123959034117e-06
1700.0,4.0,5.960391299516912e-06
1710.0,4.0,4.3265411068800755e-06
1720.0,4.0,3.00740124398234e-06
1730.0,4.0,1.9895109344703818e-06
1740.0,4.0,1.2423903931682177e-06
1750.0,4.0,7.257108389585156e-07
1760.0,4.0,3.947340200648708e-07
1770.0,4.0,2.0351547003723622e-07
1780.0,4.0,1.0841526263593359e-07
1790.0,4.0,7.204255463970505e-08
1800.0,4.0,6.523854585706142e-08
1810.0,4.0,6.801381677584577e-08
1820.0,4.0,6.875153058055196e-08
1830.0,4.0,6.307912628535821e-08
1840.0,4.0,5.2386549358810505e-08
1850.0,4.0,4.1084190957881926e-08
1860.0,4.0,3.4252065541289336e-08
1870.0,4.0,3.604867751707334e-08
1880.0,4.0,4.8724371095626766e-08
1890.0,4.0,7.209400079813437e-08
1900.0,4.0,1.0389713523471302e-07
1910.0,4.0,1.402005025721011e-07
1920.0,4.0,1.765333768013377e-07
1930.0,4.0,2.0877609617484647e-07
1940.0,4.0,2.3389777903966545e-07
1950.0,4.0,2.4958107515815653e-07
1960.0,4.0,2.5582477590703245e-07
1970.0,4.0,2.535574824409118e-07
