energy_ev,selected_grazing_angle_deg,selected_efficiency,precise_fwhm_deg,retry_triggered,retry_attempts,retry_status,selected_efficiency_is_exact_zero,selected_efficiency_below_retry_threshold,theta_tracking_center_mode,theta_tracking_auto_classification,theta_tracking_previous_energy_ev,theta_tracking_previous_grazing_angle_deg,theta_tracking_used_previous_theta,theta_tracking_bragg_fallback_triggered,theta_tracking_continuity_rejected,precise_peak_selection_mode_requested,precise_peak_selection_mode_used,precise_peak_fit_fallback_used,precise_peak_fitted_center_deg,precise_peak_fitted_fwhm_deg
4230.000000,0.689348,0.66623373,0.07128753,0,0,not_needed,0,0,bragg,auto_sparse,4150.000000,0.719342,0,0,0,voigt,voigt,0,0.68934776,0.06551543
4240.000000,0.686206,0.66494797,0.06923899,0,0,not_needed,0,0,bragg,auto_sparse,4160.000000,0.715390,0,0,0,voigt,voigt,0,0.68620632,0.06598622
4250.000000,0.682629,0.66436798,0.06846270,0,0,not_needed,0,0,bragg,auto_sparse,4170.000000,0.711117,0,0,0,voigt,voigt,0,0.68262902,0.06733024
4260.000000,0.678705,0.66449559,0.07068112,0,0,not_needed,0,0,bragg,auto_sparse,4180.000000,0.707908,0,0,0,voigt,voigt,0,0.67870506,0.06506305
4270.000000,0.675639,0.66349508,0.06784004,0,0,not_needed,0,0,bragg,auto_sparse,4190.000000,0.703666,0,0,0,voigt,voigt,0,0.67563935,0.06663007
4280.000000,0.672210,0.66314937,0.06839693,0,0,not_needed,0,0,bragg,auto_sparse,4200.000000,0.700534,0,0,0,voigt,voigt,0,0.67221033,0.06410167
4290.000000,0.668654,0.66298711,0.06808429,0,0,not_needed,0,0,bragg,auto_sparse,4210.000000,0.696961,0,0,0,voigt,voigt,0,0.66865356,0.06458708
4300.000000,0.665250,0.66239589,0.06791518,0,0,not_needed,0,0,bragg,auto_sparse,4220.000000,0.693270,0,0,0,voigt,voigt,0,0.66525037,0.06410811
4310.000000,0.661277,0.66227442,0.06829733,0,0,not_needed,0,0,bragg,auto_sparse,4230.000000,0.689348,0,0,0,voigt,voigt,0,0.66127665,0.06590200
4320.000000,0.658039,0.66083150,0.06861403,0,0,not_needed,0,0,bragg,auto_sparse,4240.000000,0.686206,0,0,0,voigt,voigt,0,0.65803947,0.06358929
4330.000000,0.655047,0.65887592,0.06771264,0,0,not_needed,0,0,bragg,auto_sparse,4260.000000,0.678705,0,0,0,voigt,voigt,0,0.65504728,0.06181024
4340.000000,0.651562,0.65752288,0.06785176,0,0,not_needed,0,0,bragg,auto_sparse,4260.000000,0.678705,0,0,0,voigt,voigt,0,0.65156236,0.06143098
4350.000000,0.647779,0.65677206,0.06820213,0,0,not_needed,0,0,bragg,auto_sparse,4270.000000,0.675639,0,0,0,voigt,voigt,0,0.64777943,0.06316969
