energy_ev,selected_grazing_angle_deg,order,efficiency,diffraction_angle_deg,retry_triggered,retry_attempts,retry_status,selected_efficiency_is_exact_zero,selected_efficiency_below_retry_threshold,theta_tracking_center_mode,theta_tracking_auto_classification,theta_tracking_previous_energy_ev,theta_tracking_previous_grazing_angle_deg,theta_tracking_used_previous_theta,theta_tracking_bragg_fallback_triggered,theta_tracking_continuity_rejected,precise_peak_selection_mode_requested,precise_peak_selection_mode_used,precise_peak_fit_fallback_used,precise_peak_fitted_center_deg,precise_peak_fitted_fwhm_deg
500.0,14.184143802091643,6,0.0,0.0,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.184143802091643,0.2913012351952036
500.0,14.184143802091643,7,0.0,0.0,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.184143802091643,0.2913012351952036
500.0,14.184143802091643,8,0.0,0.0,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.184143802091643,0.2913012351952036
500.0,14.184143802091643,9,0.0,0.0,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.184143802091643,0.2913012351952036
500.0,14.184143802091643,10,0.0,0.0,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.184143802091643,0.2913012351952036
500.0,14.184143802091643,11,0.0,0.0,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.184143802091643,0.2913012351952036
500.0,14.184143802091643,12,0.0,0.0,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.184143802091643,0.2913012351952036
500.0,14.184143802091643,13,0.0,0.0,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.184143802091643,0.2913012351952036
500.0,14.184143802091643,14,0.0,0.0,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.184143802091643,0.2913012351952036
500.0,14.184143802091643,15,0.0,0.0,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.184143802091643,0.2913012351952036
510.0,13.87004182949011,-15,1.2471279338757918e-08,27.953701970158214,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.184143802091643,1,0,0,voigt,voigt,0,13.87004182949011,0.2790608950581516
510.0,13.87004182949011,-14,4.129561774940934e-09,27.23199092401738,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.184143802091643,1,0,0,voigt,voigt,0,13.87004182949011,0.2790608950581516
510.0,13.87004182949011,-13,5.344278327947004e-09,26.49216511210812,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.184143802091643,1,0,0,voigt,voigt,0,13.87004182949011,0.2790608950581516
