energy_ev,selected_grazing_angle_deg,order,efficiency,diffraction_angle_deg,retry_triggered,retry_attempts,retry_status,selected_efficiency_is_exact_zero,selected_efficiency_below_retry_threshold,theta_tracking_center_mode,theta_tracking_auto_classification,theta_tracking_previous_energy_ev,theta_tracking_previous_grazing_angle_deg,theta_tracking_used_previous_theta,theta_tracking_bragg_fallback_triggered,theta_tracking_continuity_rejected,precise_peak_selection_mode_requested,precise_peak_selection_mode_used,precise_peak_fit_fallback_used,precise_peak_fitted_center_deg,precise_peak_fitted_fwhm_deg
500.0,14.183552179744003,21,0.0,0.0,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.183552179744003,0.29775750667465856
500.0,14.183552179744003,22,0.0,0.0,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.183552179744003,0.29775750667465856
500.0,14.183552179744003,23,0.0,0.0,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.183552179744003,0.29775750667465856
500.0,14.183552179744003,24,0.0,0.0,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.183552179744003,0.29775750667465856
500.0,14.183552179744003,25,0.0,0.0,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.183552179744003,0.29775750667465856
700.0,9.733415994764002,-25,7.591962190799233e-10,28.43757524363327,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,-24,1.0279597942897609e-09,27.92183924039034,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,-23,2.985122603096405e-09,27.39719055820428,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,-22,1.2667346341633152e-09,26.863104084517722,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,-21,1.467108068357244e-09,26.319002313100484,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,-20,5.960132177531167e-09,25.764247727292513,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,-19,2.2825416724758997e-09,25.1981336987333,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,-18,3.4367997489876334e-09,24.619873531975188,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,-17,1.1349160587638186e-08,24.028587171462675,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,-16,1.6253157085120938e-09,23.423284930905112,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,-15,8.515306941533017e-09,22.802847387131933,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,-14,2.4323051617198764e-08,22.166000272185045,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,-13,4.061260658696456e-09,21.511282753679822,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,-12,2.748911179957187e-08,20.83700684275847,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,-11,5.5346850175055814e-08,20.141204694529065,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,-10,1.7973413799748552e-09,19.421559072134187,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,-9,1.579424438431661e-07,18.675309894636,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,-8,2.8341436976416934e-07,17.899125976573387,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,-7,1.7397039631925628e-08,17.088924669726225,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,-6,1.990381914784265e-06,16.239610948881136,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,-5,3.505217496466448e-06,15.344687058215044,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,-4,1.0168936027627625e-05,14.395644360940452,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,-3,0.0013183364943009828,13.380967464251981,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,-2,0.05166669297536103,12.284397518074627,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,-1,0.001355489841468041,11.081644010515163,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,0,0.00030220479632440684,9.733415994764002,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,1,4.365449026969144e-06,8.16798285151036,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,2,0.00035533664793217914,6.223533414599146,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,3,0.0013445154559795097,3.2845888564928316,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,4,0.0,0.0,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,5,0.0,0.0,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
